"","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN.x","HEST","NEP","ING","CAR","PROB_A","HW","SEC","CONS","REC","I_HOGAR"
"1",7910114,1,1,1,"5","1","3","2",0.92963,"[40, 50)","2","2","2",775000
"2",7910115,1,1,1,"1","9","2","2",0,"40 <","1","2","1",2200000
"3",7910119,1,1,1,"4","1","1","2",0.02890046,"> 50","1","2","2",410000
"4",7910120,1,1,1,"3","9","2","2",0.92963,"40 <","1","2","2",720000
"5",7910121,1,1,1,"7","1","2","2",0.11470257,"[40, 50)","1","2","2",1892500
"6",7910122,1,1,1,"3","2","2","2",0.02890046,"> 50","1","2","1",740000
"7",7910123,1,1,1,"5","4","3","2",0,"[40, 50)","1","2","2",2250000
"8",7910125,1,1,1,"7","6","3","1",0.35529742,"[40, 50)","2","2","1",7983933.3333
"9",7910126,1,1,1,"5","10","2","2",0.35529742,"[40, 50)","1","2","2",840833.33333
"10",7910127,1,1,1,"4","1","2","2",0,"> 50","2","2","2",1045000
"11",7910129,1,1,1,"3","2","1","2",0.92963,"40 <","1","2","2",3e+05
"12",7910130,1,1,1,"1","9","1","2",0,"[40, 50)","1","2","2",1440000
"13",7910131,1,1,1,"4","2","2","2",0,"> 50","2","2","2",690000
"14",7910132,1,1,1,"11","8","1","2",0.99007729,"40 <","1","2","2",450000
"15",7910133,1,1,1,"11","8","1","2",0,"[40, 50)","1","2","2",2600000
"16",7910135,1,1,1,"4","1","2","2",0.11470257,"> 50","2","2","2",2295833.3333
"17",7910136,1,1,1,"5","2","1","2",0.99007729,"> 50","2","2","2",6e+05
"18",7910137,1,1,1,"7","2","2","2",0.35529742,"> 50","2","2","2",13433333.333
"19",7910138,1,1,1,"4","3","2","2",0,"[40, 50)","1","2","1",3470000
"20",7910139,1,1,1,"3","1","2","2",0.02890046,"40 <","2","2","2",9e+05
"21",7910140,1,1,1,"5","1","1","2",0.72130585,"40 <","1","2","2",552250
"22",7910141,1,1,1,"3","1","1","2",0.02890046,"40 <","1","2","2",5e+05
"23",7910143,1,1,1,"5","2","1","2",0,"[40, 50)","1","2","2",573333.33333
"24",7910144,1,1,1,"1","10","1","2",0,"> 50","2","2","1",818333.33333
"25",7910145,1,1,1,"5","2","1","2",0.99793798,"40 <","1","2","2",2945000
"26",7910146,1,1,1,"7","1","2","2",0,"[40, 50)","1","2","2",2100000
"27",7910147,1,1,1,"3","2","1","2",0.72130585,"[40, 50)","2","2","2",315000
"28",7910148,1,1,1,"4","9","2","2",0.99883635,"[40, 50)","1","2","2",915000
"29",7910149,1,1,1,"1","10","1","2",0.99007729,"40 <","1","2","2",3e+05
"30",7910150,1,1,1,"5","2","1","2",0.99007729,"40 <","2","2","2",850000
"31",7910151,1,1,1,"11","2","2","2",0,"[40, 50)","1","2","2",1400000
"32",7910152,1,1,1,"3","10","1","2",0.99793798,"> 50","1","2","2",460000
"33",7910154,1,1,1,"13","10","3","1",0,"[40, 50)","1","1","2",2933333.3333
"34",7910155,1,1,1,"13","4","2","1",0,"[40, 50)","1","2","2",5800000
"35",7910157,1,1,1,"6","8","2","1",0,"[40, 50)","2","2","1",4706666.6667
"36",7910158,1,1,1,"5","1","2","2",0,"> 50","1","2","2",1e+06
"37",7910159,1,1,1,"5","1","1","2",0.99007729,"40 <","1","2","2",310000
"38",7910160,1,1,1,"3","1","1","2",0.35529742,"> 50","1","2","2",666666.66667
"39",7910161,1,1,1,"3","1","2","2",0,"40 <","1","2","2",733333.33333
"40",7910163,1,1,1,"5","1","2","1",0.02890046,"> 50","2","2","2",1691666.6667
"41",7910164,1,1,1,"7","4","2","2",0,"> 50","1","1","2",8800000
"42",7910166,1,1,1,"4","10","2","2",0.02890046,"[40, 50)","2","2","2",701666.66667
"43",7910167,1,1,1,"7","9","2","2",0,"[40, 50)","1","2","1",1810531.6667
"44",7910168,1,1,1,"4","1","2","1",0,"> 50","1","2","1",2300000
"45",7910169,1,1,1,"3","1","2","2",0,"> 50","2","2","2",4144833.3333
"46",7910170,1,1,1,"5","6","1","2",0.35529742,"40 <","1","2","2",785000
"47",7910171,1,1,1,"5","4","1","2",0.92963,"40 <","1","2","2",899166.66667
"48",7910172,1,1,1,"5","4","1","2",0.11470257,"> 50","1","2","2",1285000
"49",7910173,1,1,1,"7","2","3","2",0,"40 <","2","2","2",7050000
"50",7910174,1,1,1,"3","9","1","2",0,"[40, 50)","2","2","2",430000
"51",7910175,1,1,1,"3","1","2","2",0,"> 50","1","2","2",1623933.3333
"52",7910176,1,1,1,"5","2","3","2",0.92963,"> 50","1","1","2",2310000
"53",7910177,1,1,1,"7","4","2","2",0.02890046,"[40, 50)","2","1","2",4223500
"54",7910178,1,1,1,"3","1","2","1",0.02890046,"> 50","1","2","1",3466666.6667
"55",7910179,1,1,1,"3","1","1","2",0.99883635,"40 <","1","2","2",1220000
"56",7910180,1,1,1,"5","8","1","1",0.11470257,"[40, 50)","1","2","2",1e+06
"57",7910181,1,1,1,"3","10","2","1",0.11470257,"[40, 50)","1","2","2",3200000
"58",7910182,1,1,1,"13","2","2","1",0.11470257,"[40, 50)","1","2","1",6e+05
"59",7910183,1,1,1,"3","10","2","2",0,"[40, 50)","1","2","2",1262083.3333
"60",7910184,1,1,1,"11","10","3","1",0,"[40, 50)","1","1","1",8860000
"61",7910186,1,1,1,"4","9","1","2",0.92963,"[40, 50)","1","2","2",1400000
"62",7910187,1,1,1,"5","4","1","2",0,"40 <","1","2","2",9e+05
"63",7910188,1,1,1,"4","10","1","1",0.02890046,"40 <","2","1","2",7409416.6667
"64",7910189,1,1,1,"7","9","1","2",0.35529742,"[40, 50)","2","2","2",2230000
"65",7910190,1,1,1,"3","1","1","2",0.35529742,"40 <","1","2","2",322500
"66",7910191,1,1,1,"9","2","2","2",0.72130585,"[40, 50)","2","2","2",1560000
"67",7910192,1,1,1,"4","1","3","2",0.02890046,"> 50","1","2","2",2060000
"68",7910193,1,1,1,"3","10","1","2",0,"> 50","1","2","2",2286000
"69",7910196,1,1,1,"5","4","2","1",0.35529742,"> 50","1","2","2",4601666.6667
"70",7910197,1,1,1,"5","4","3","2",0.11470257,"[40, 50)","1","2","2",2009166.6667
"71",7910198,1,1,1,"4","10","2","2",0.11470257,"> 50","1","2","2",1656666.6667
"72",7910199,1,1,1,"4","10","2","2",0.11470257,"[40, 50)","1","2","2",3103333.3333
"73",7910200,1,1,1,"3","1","2","2",0.11470257,"[40, 50)","1","2","1",1116000
"74",7910201,1,1,1,"4","10","2","2",0.11470257,"[40, 50)","1","2","2",541666.66667
"75",7910203,1,1,1,"5","1","1","2",0.99793798,"[40, 50)","1","2","2",1525000
"76",7910204,1,1,1,"3","10","2","2",0.35529742,"> 50","1","2","2",1600000
"77",7910205,1,1,1,"3","1","2","2",0.11470257,"[40, 50)","1","2","2",1350000
"78",7910206,1,1,1,"11","1","3","2",0,"[40, 50)","1","2","2",3716666.6667
"79",7910207,1,1,1,"5","10","2","2",0,"[40, 50)","1","2","2",3736666.6667
"80",7910208,1,1,1,"4","1","2","2",0,"40 <","1","2","2",1400000
"81",7910209,1,1,1,"1","10","2","2",0.35529742,"40 <","1","2","1",1140000
"82",7910210,1,1,1,"3","1","1","2",0.35529742,"> 50","1","2","2",1587250
"83",7910212,1,1,1,"3","1","1","2",0.35529742,"> 50","1","2","2",3327000
"84",7910213,1,1,1,"3","10","2","2",0,"40 <","1","2","2",532000
"85",7910214,1,1,1,"4","10","2","2",0.35529742,"40 <","1","2","2",989666.66667
"86",7910215,1,1,1,"11","10","3","2",0,"[40, 50)","1","2","2",2033000
"87",7910216,1,1,1,"7","10","2","2",0.11470257,"> 50","1","2","2",1208333.3333
"88",7910218,1,1,1,"3","10","2","2",0,"> 50","1","2","2",1066000
"89",7910219,1,1,1,"7","9","3","2",0,"[40, 50)","1","2","1",7990000
"90",7910221,1,1,1,"3","10","2","2",0.02890046,"> 50","1","2","2",1325500
"91",7910222,1,1,1,"1","9","2","2",0,"40 <","1","2","2",9e+05
"92",7910223,1,1,1,"3","1","1","2",0.35529742,"[40, 50)","1","2","2",6e+05
"93",7910224,1,1,1,"9","9","2","2",0.02890046,"40 <","1","2","2",5650833.3333
"95",7910226,1,1,1,"3","1","1","2",0.11470257,"[40, 50)","1","2","2",1500000
"96",7910228,1,1,1,"5","1","3","2",0.99793798,"> 50","1","2","2",5e+05
"97",7910229,1,1,1,"5","1","3","2",0.35529742,"40 <","2","2","1",6391666.6667
"98",7910230,1,1,1,"3","1","1","1",0,"[40, 50)","1","2","2",1540000
"99",7910233,1,1,1,"3","9","1","2",0.72130585,"40 <","1","2","2",165000
"100",7910235,1,1,1,"11","4","2","1",0,"[40, 50)","2","2","1",4700000
"101",7910237,1,1,1,"13","4","2","1",0.02890046,"40 <","1","2","2",14500000
"102",7910238,1,1,1,"3","2","2","2",0.02890046,"> 50","1","2","2",1520000
"103",7910241,1,1,1,"1","10","2","2",0.11470257,"> 50","1","2","2",3204166.6667
"104",7910242,1,1,1,"4","2","2","2",0,"40 <","1","2","2",2180000
"105",7910243,1,1,1,"1","9","1","2",0.99007729,"40 <","1","2","2",245000
"106",7910244,1,1,1,"11","4","1","2",0.92963,"> 50","2","2","2",1160000
"108",7910246,1,1,1,"5","4","1","2",0.11470257,"> 50","1","2","2",1100000
"109",7910247,1,1,1,"4","1","2","2",0.35529742,"40 <","1","2","2",580000
"110",7910249,1,1,1,"4","10","2","1",0.72130585,"40 <","2","2","2",2141666.6667
"111",7910251,1,1,1,"13","4","2","2",0,"[40, 50)","1","2","1",6291666.6667
"112",7910252,1,1,1,"5","8","2","1",0.35529742,"[40, 50)","1","2","1",1583333.3333
"113",7910253,1,1,1,"13","8","3","2",0,"[40, 50)","1","2","2",3383333.3333
"114",7910254,1,1,1,"4","1","1","2",0.99793798,"40 <","1","2","2",925000
"115",7910255,1,1,1,"3","2","3","2",0,"> 50","1","2","1",6145833.3333
"116",7910257,1,1,1,"13","4","3","1",0.35529742,"40 <","1","2","2",12900000
"117",7910258,1,1,1,"13","4","2","1",0,"[40, 50)","1","2","2",12250000
"118",7910260,1,1,1,"3","1","1","2",0,"> 50","1","2","2",2440606
"119",7910261,1,1,1,"10","10","3","1",0,"[40, 50)","2","2","1",3870833.3333
"120",7910262,1,1,1,"11","4","1","1",0.02890046,"> 50","2","1","2",9300666.6667
"121",7910263,1,1,1,"3","10","2","2",0,"[40, 50)","1","2","2",1050000
"122",7910264,1,1,1,"5","2","2","2",0,"[40, 50)","1","2","2",2630606
"123",7910265,1,1,1,"3","10","1","2",0,"[40, 50)","1","2","2",1713933.3333
