"","DIRECTORIO","SECUENCIA_P","ORDEN.x","CAR","SEC","CONS","REC","ING","I_HOGAR"
"1","7910114","1","1",0,0,0,0,3,775000
"2","7910115","1","1",0,1,0,1,2,2200000
"3","7910119","1","1",0,1,0,0,1,410000
"4","7910120","1","1",0,1,0,0,2,720000
"5","7910121","1","1",0,1,0,0,2,1892500
"6","7910122","1","1",0,1,0,1,2,740000
"7","7910123","1","1",0,1,0,0,3,2250000
"8","7910125","1","1",1,0,0,1,3,7983933.3333
"9","7910126","1","1",0,1,0,0,2,840833.33333
"10","7910127","1","1",0,0,0,0,2,1045000
"11","7910129","1","1",0,1,0,0,1,3e+05
"12","7910130","1","1",0,1,0,0,1,1440000
"13","7910131","1","1",0,0,0,0,2,690000
"14","7910132","1","1",0,1,0,0,1,450000
"15","7910133","1","1",0,1,0,0,1,2600000
"16","7910135","1","1",0,0,0,0,2,2295833.3333
"17","7910136","1","1",0,0,0,0,1,6e+05
"18","7910137","1","1",0,0,0,0,2,13433333.333
"19","7910138","1","1",0,1,0,1,2,3470000
"20","7910139","1","1",0,0,0,0,2,9e+05
"21","7910140","1","1",0,1,0,0,1,552250
"22","7910141","1","1",0,1,0,0,1,5e+05
"23","7910143","1","1",0,1,0,0,1,573333.33333
"24","7910144","1","1",0,0,0,1,1,818333.33333
"25","7910145","1","1",0,1,0,0,1,2945000
"26","7910146","1","1",0,1,0,0,2,2100000
"27","7910147","1","1",0,0,0,0,1,315000
"28","7910148","1","1",0,1,0,0,2,915000
"29","7910149","1","1",0,1,0,0,1,3e+05
"30","7910150","1","1",0,0,0,0,1,850000
"31","7910151","1","1",0,1,0,0,2,1400000
"32","7910152","1","1",0,1,0,0,1,460000
"33","7910154","1","1",1,1,1,0,3,2933333.3333
"34","7910155","1","1",1,1,0,0,2,5800000
"35","7910157","1","1",1,0,0,1,2,4706666.6667
"36","7910158","1","1",0,1,0,0,2,1e+06
"37","7910159","1","1",0,1,0,0,1,310000
