"IMCV","Ingresos","Salud","Trabajo","Capital","NivelIngresos"
32.06,0.78,2.55,0.51,3.31,"Bajo"
32.88,0.96,2.62,0.52,3.68,"Bajo"
33.27,1.1,2.65,0.57,3.83,"Bajo"
32.82,1.12118222,2.56910502,0.55203192,3.73986346,"Bajo"
33.53,1.039,3.041,0.485,3.667,"Bajo"
34.77,1.200674,2.82296531,0.66676485,4.03550106,"Bajo"
33.97,1.26851026,2.84562901,0.46860107,3.94121283,"Bajo"
34.75,1.38186723,3.05238925,0.54344588,3.9393158,"Medio"
36.4,0.96,2.99,0.54,4.08,"Bajo"
35.87,0.94,2.65,0.52,3.97,"Bajo"
36.06,1.01,2.92,0.63,4.3,"Bajo"
35.85,1.16518345,2.65890443,0.59984982,4.20046085,"Bajo"
35.96,1.096,3.205,0.507,3.874,"Bajo"
36.89,1.32749611,2.78815013,0.63056684,4.30684505,"Medio"
36.6,1.33911342,2.75350054,0.54875395,4.26689711,"Medio"
37.08,1.4088199,2.95535642,0.54503566,4.3397839,"Medio"
35.78,1.03,2.93,0.5,4.13,"Bajo"
36.83,1.1,2.88,0.54,4.4,"Bajo"
36.49,1.23,2.76,0.59,4.34,"Bajo"
38.44,1.30441615,3.19501079,0.58643288,4.65730451,"Bajo"
37.93,1.105,3.46,0.584,4.306,"Bajo"
37.72,1.42797087,2.98439432,0.59487042,4.47341826,"Medio"
37.28,1.45857864,3.01114154,0.47573102,4.28555217,"Medio"
37.45,1.49125639,3.02678328,0.46543715,4.39790909,"Medio"
41.48,1.24,3.09,0.6,5.35,"Bajo"
41.78,1.24,2.93,0.55,5.08,"Bajo"
41.6,1.29,2.75,0.6,5.06,"Bajo"
42.45,1.45896594,3.06753202,0.55132982,5.41696031,"Medio"
44.29,1.249,3.757,0.604,5.267,"Bajo"
43.73,1.56115549,3.21421742,0.62118662,5.73550153,"Medio"
43.27,1.55838615,3.03674124,0.44258966,5.42125846,"Medio"
44.12,1.66135453,3.19028968,0.51217071,5.61176313,"Medio"
47.73,1.42,3.64,0.58,6.17,"Medio"
46.67,1.56,3.18,0.59,6.02,"Medio"
48.19,1.68,3.68,0.67,6.38,"Medio"
47.49,1.65554157,3.31640328,0.61513536,6.15162382,"Medio"
46.9,1.453,3.672,0.6,5.95,"Medio"
48.69,1.82785,3.43813872,0.71275689,6.4531663,"Alto"
46.81,1.59774013,3.1792669,0.45836645,6.07955592,"Medio"
48.06,1.88785752,3.36078239,0.5956351,6.32139183,"Alto"
38.57,1.15,3.06,0.58,4.73,"Bajo"
39.68,1.14,3.11,0.53,4.65,"Bajo"
39.04,1.19,2.93,0.58,4.71,"Bajo"
40.29,1.3450975,3.12001399,0.57732509,4.85610308,"Medio"
40.12,1.163,3.504,0.566,4.698,"Bajo"
41.43,1.50543678,3.13065652,0.60616289,5.14421796,"Medio"
39.99,1.45667884,3.06178059,0.5077605,4.81510838,"Medio"
40.79,1.54754337,3.15190368,0.489709,4.96423164,"Medio"
43.84,1.5,3.46,0.58,5.72,"Medio"
44.04,1.41,3.07,0.54,5.45,"Medio"
44.62,1.69,3.42,0.67,5.89,"Medio"
45.09,1.71588413,3.31394069,0.70067238,5.90184979,"Medio"
44.16,1.44,3.631,0.546,5.427,"Medio"
45.64,1.78246025,3.40876849,0.65309594,5.95940154,"Alto"
44.9,1.64697705,3.22163128,0.54198533,5.71611762,"Medio"
46.12,1.83385953,3.53759165,0.52267041,5.91743343,"Alto"
36.57,1.04,2.9,0.53,4.35,"Bajo"
36.47,1.06,2.7,0.49,4.19,"Bajo"
37.94,1.25,3.14,0.61,4.68,"Bajo"
37.95,1.30713016,3.02002063,0.57556357,4.66572233,"Bajo"
39.14,1.41,3.576,0.597,4.502,"Medio"
38.76,1.38811875,3.076058,0.59614562,4.72186835,"Medio"
38.41,1.32155278,2.95170784,0.52801431,4.56357022,"Bajo"
39.67,1.52845429,3.11298307,0.49379933,4.89732949,"Medio"
48.89,1.57,3.68,0.64,6.37,"Medio"
49.2,1.78,3.52,0.62,6.69,"Alto"
48.23,1.71,3.41,0.69,6.66,"Medio"
49.07,1.87718539,3.39827998,0.72714727,6.52651971,"Alto"
49.21,1.854,3.729,0.625,6.244,"Alto"
49.39,1.89978218,3.59894349,0.68250503,6.6490335,"Alto"
48.21,1.77500643,3.38616341,0.57938653,6.33095572,"Alto"
49.91,1.98633007,3.62413597,0.56155075,6.63996866,"Alto"
56.23,1.95,3.76,0.62,7.6,"Alto"
57.49,2.3,3.56,0.69,7.9,"Alto"
56.76,2.42,3.6,0.8,7.85,"Alto"
56.95,2.23602642,3.61844015,0.67783945,7.89471963,"Alto"
54.67,1.887,3.645,0.718,7.039,"Alto"
